header lines: 61
Morris sequences generated using PYTHON 
first: reference set, then: 56 lines OAT sample 
parameter ranges are: 
      p_{2} = "x_{02}" = Uniform[ 0.4000 , 0.6000 ]
      p_{4} = "x_{04}" = Uniform[ 3.0000 , 7.0000 ]
      p_{5} = "x_{05}" = Uniform[ -5.0000 , 10.0000 ]
      p_{6} = "x_{06}" = Uniform[ -5.0000 , 10.0000 ]
      p_{7} = "x_{07}" = Uniform[ 12.0000 , 25.0000 ]
      p_{8} = "x_{08}" = Uniform[ 12.0000 , 25.0000 ]
      p_{9} = "x_{09}" = Uniform[ 25.0000 , 48.0000 ]
      p_{10} = "x_{10}" = Uniform[ 25.0000 , 48.0000 ]
      p_{12} = "x_{12}" = Uniform[ 0.1000 , 0.7000 ]
      p_{13} = "x_{13}" = Uniform[ 0.0500 , 0.7000 ]
      p_{14} = "x_{14}" = Uniform[ 0.0500 , 0.7000 ]
      p_{15} = "x_{15}" = Uniform[ 0.0300 , 1.8000 ]
      p_{16} = "x_{16}" = Uniform[ 0.0098 , 1.4700 ]
      p_{17} = "x_{17}" = Uniform[ 0.0010 , 0.0100 ]
      p_{18} = "x_{18}" = Uniform[ 0.0010 , 0.0100 ]
      p_{19} = "x_{19}" = Uniform[ 0.0010 , 0.0100 ]
      p_{20} = "x_{20}" = Uniform[ 0.0010 , 0.0100 ]
      p_{23} = "x_{23}" = Uniform[ 1.0000e-06 , 1.0000e-04 ]
      p_{24} = "x_{24}" = Uniform[ 1.0000e-06 , 1.0000e-04 ]
      p_{26} = "x_{26}" = Uniform[ 1.0000e-05 , 0.0010 ]
      p_{28} = "x_{28}" = Uniform[ 1.0000e-05 , 0.0010 ]
      p_{31} = "x_{31}" = Uniform[ 0.6440 , 1.0000 ]
      p_{32} = "x_{32}" = Uniform[ 0.6440 , 1.0000 ]
      p_{33} = "x_{33}" = Uniform[ 0.0000 , 1.0000 ]
      p_{34} = "x_{34}" = Uniform[ 0.0000 , 1.0000 ]
      p_{35} = "x_{35}" = Uniform[ 0.0000 , 1.0000 ]
      p_{36} = "x_{36}" = Uniform[ 0.0000 , 1.0000 ]
      p_{37} = "x_{37}" = Uniform[ 0.0000 , 1.0000 ]
      p_{38} = "x_{38}" = Uniform[ 0.0000 , 1.0000 ]
      p_{40} = "x_{40}" = Uniform[ 45.0000 , 500.0000 ]
      p_{41} = "x_{41}" = Uniform[ 1.1740 , 2.1788 ]
      p_{42} = "x_{42}" = Uniform[ 1.1740 , 2.1788 ]
      p_{43} = "x_{43}" = Uniform[ 0.5000 , 1.0000 ]
      p_{44} = "x_{44}" = Uniform[ 0.5000 , 1.0000 ]
      p_{45} = "x_{45}" = Uniform[ 0.6000 , 1.1000 ]
      p_{46} = "x_{46}" = Uniform[ 0.6000 , 1.1000 ]
      p_{48} = "x_{48}" = Uniform[ 0.5000 , 1.0000 ]
      p_{49} = "x_{49}" = Uniform[ 3.7306 , 5.2306 ]
      p_{50} = "x_{50}" = Uniform[ 3.7306 , 5.2306 ]
      p_{52} = "x_{52}" = Uniform[ 5.0000 , 25.0000 ]
      p_{53} = "x_{53}" = Uniform[ 5.0000 , 25.0000 ]
      p_{54} = "x_{54}" = Uniform[ 5.0000 , 25.0000 ]
      p_{58} = "x_{58}" = Uniform[ 0.1000 , 10.0000 ]
      p_{60} = "x_{60}" = Uniform[ 1.0000 , 5.0000 ]
      p_{61} = "x_{61}" = Uniform[ 1.0000 , 6.0000 ]
      p_{62} = "x_{62}" = Uniform[ 1.0000 , 6.0000 ]
      p_{63} = "x_{63}" = Uniform[ 0.1000 , 0.6000 ]
      p_{64} = "x_{64}" = Uniform[ 0.1000 , 0.6000 ]
      p_{65} = "x_{65}" = Uniform[ 0.1000 , 4.0000 ]
      p_{66} = "x_{66}" = Uniform[ 0.1000 , 4.0000 ]
      p_{67} = "x_{67}" = Uniform[ 0.1000 , 2.0000 ]
      p_{68} = "x_{68}" = Uniform[ 0.1000 , 2.0000 ]
      p_{69} = "x_{69}" = Uniform[ 0.0100 , 1.0000 ]
      p_{70} = "x_{70}" = Uniform[ 0.0100 , 1.0000 ]
      p_{71} = "x_{71}" = Uniform[ 1.0000e-05 , 0.1000 ]
      p_{72} = "x_{72}" = Uniform[ 1.0000e-05 , 0.1000 ]
 
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000   1.00000000  22.40000000  25.00000000  25.00000000  43.40000000   0.65000000   0.46000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.60000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   8.02000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.10000000
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  22.40000000  25.00000000  25.00000000  43.40000000   0.65000000   0.46000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.60000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   8.02000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.10000000
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.46000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.60000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   8.02000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.10000000
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.46000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   8.02000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.10000000
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.46000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   2.08000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.10000000
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.10000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   2.08000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.10000000
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.10000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   2.08000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.00001000   0.04000600
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.10000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 136.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   2.08000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.06000400   0.04000600
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  43.40000000   0.65000000   0.10000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 409.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   2.08000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.06000400   0.04000600
  0.57501530   0.48000000   3.42374700   3.00000000   4.00000000  10.00000000  14.60000000  25.00000000  25.00000000  29.60000000   0.65000000   0.10000000   0.57000000   0.31000000   1.80000000   0.00980000   0.00640000   0.01000000   0.00820000   0.00100000  35.00000000  30.00000000   0.00004060   0.00002080   0.00004287   0.00080200   0.00004287   0.00001000  35.00000000   1.00000000   1.00000000   1.00000000   0.60000000   0.40000000   0.40000000   0.00000000   1.00000000   0.60000000 230.00000000 409.00000000   1.97784000   1.57592000   0.60000000   0.70000000   0.60000000   0.60000000   0.26943000   0.90000000   4.03057000   4.63057000  10.00000000   9.00000000  17.00000000   5.00000000  35.00000000   2.00000000   0.14500000   2.08000000   2.45000000   1.80000000   4.00000000   4.00000000   0.60000000   0.30000000   0.88000000   0.88000000   0.48000000   0.10000000   0.40600000   0.20800000   0.06000400   0.04000600
