 model_time, BasalArea_sub_sim_0116, BasalArea_sub_obs_0116, BasalArea_sub_sim_0178, BasalArea_sub_obs_0178,
       1,     22.00,            ,     22.00,            ,
       2,     22.00,            ,     22.00,            ,
       3,     22.00,            ,     22.00,            ,
       4,     22.00,            ,     22.00,            ,
       5,     22.00,            ,     22.00,            ,
       6,     22.00,            ,     22.00,            ,
       7,     22.00,            ,     22.00,            ,
       8,     22.00,            ,     22.00,            ,
       9,     22.00,            ,     22.00,            ,
      10,     22.00,            ,     22.00,            ,
      11,     22.00,            ,     22.00,            ,
      12,     22.00,            ,     22.00,            ,
      13,     22.00,            ,     22.00,            ,
      14,     22.00,            ,     22.00,            ,
      15,     22.00,            ,     22.00,            ,
      16,     22.00,            ,     22.00,            ,
      17,     22.00,            ,     22.00,            ,
      18,     22.00,            ,     22.00,            ,
      19,     22.00,            ,     22.00,            ,
      20,     22.00,            ,     22.00,            ,
      21,     22.00,            ,     22.00,            ,
      22,     22.00,            ,     22.00,            ,
      23,     22.00,            ,     22.00,            ,
      24,     22.00,            ,     22.00,            ,
      25,     22.00,            ,     22.00,            ,
      26,     22.00,            ,     22.00,            ,
      27,     22.00,            ,     22.00,            ,
      28,     22.00,            ,     22.00,            ,
      29,     22.00,            ,     22.00,            ,
      30,     22.00,            ,     22.00,            ,
      31,     22.00,            ,     22.00,            ,
      32,     26.34,            ,     26.34,            ,
      33,     21.28,            ,     21.28,            ,
      34,     21.28,            ,     21.28,            ,
      35,     21.28,            ,     21.28,            ,
      36,     21.28,            ,     21.28,            ,
      37,     21.28,            ,     21.28,            ,
      38,     21.28,            ,     21.28,            ,
      39,     21.28,            ,     21.28,            ,
      40,     21.28,            ,     21.28,            ,
      41,     21.28,            ,     21.28,            ,
      42,     21.28,            ,     21.28,            ,
      43,     21.28,            ,     21.28,            ,
      44,     21.27,            ,     21.27,            ,
      45,     21.27,            ,     21.27,            ,
      46,     21.27,            ,     21.27,            ,
      47,     21.27,            ,     21.27,            ,
      48,     21.27,            ,     21.27,            ,
      49,     21.27,            ,     21.27,            ,
      50,     21.27,            ,     21.27,            ,
      51,     21.27,            ,     21.27,            ,
      52,     21.27,            ,     21.27,            ,
      53,     21.27,            ,     21.27,            ,
      54,     21.27,            ,     21.27,            ,
      55,     21.27,            ,     21.27,            ,
      56,     21.27,            ,     21.27,            ,
      57,     21.26,            ,     21.26,            ,
      58,     21.26,            ,     21.26,            ,
      59,     21.26,            ,     21.26,            ,
      60,     21.26,            ,     21.26,            ,
      61,     21.26,            ,     21.26,            ,
      62,     21.26,            ,     21.26,            ,
      63,     21.26,            ,     21.26,            ,
      64,     21.26,            ,     21.26,            ,
      65,     21.26,            ,     21.26,            ,
      66,     21.26,            ,     21.26,            ,
      67,     21.26,            ,     21.26,            ,
      68,     21.26,            ,     21.26,            ,
      69,     21.26,            ,     21.26,            ,
      70,     21.26,            ,     21.26,            ,
      71,     21.25,            ,     21.25,            ,
      72,     21.25,            ,     21.25,            ,
      73,     21.25,            ,     21.25,            ,
      74,     21.25,            ,     21.25,            ,
      75,     21.25,            ,     21.25,            ,
      76,     21.25,            ,     21.25,            ,
      77,     21.25,            ,     21.25,            ,
      78,     21.25,            ,     21.25,            ,
      79,     21.25,            ,     21.25,            ,
      80,     21.25,            ,     21.25,            ,
      81,     21.25,            ,     21.25,            ,
      82,     21.25,            ,     21.25,            ,
      83,     21.25,            ,     21.25,            ,
      84,     21.24,            ,     21.24,            ,
      85,     21.24,            ,     21.24,            ,
      86,     21.24,            ,     21.24,            ,
      87,     21.24,            ,     21.24,            ,
      88,     21.24,            ,     21.24,            ,
      89,     21.24,            ,     21.24,            ,
      90,     21.24,            ,     21.24,            ,
      91,     21.24,            ,     21.24,            ,
      92,     21.24,            ,     21.24,            ,
      93,     21.24,            ,     21.24,            ,
      94,     21.24,            ,     21.24,            ,
      95,     21.24,            ,     21.24,            ,
      96,     21.24,            ,     21.24,            ,
      97,     21.24,            ,     21.24,            ,
      98,     21.23,            ,     21.23,            ,
      99,     21.23,            ,     21.23,            ,
     100,     21.23,            ,     21.23,            ,
     101,     21.23,            ,     21.23,            ,
     102,     21.23,            ,     21.23,            ,
     103,     21.23,            ,     21.23,            ,
     104,     21.23,            ,     21.23,            ,
     105,     21.23,            ,     21.23,            ,
     106,     21.23,            ,     21.23,            ,
     107,     21.23,            ,     21.23,            ,
     108,     21.23,            ,     21.23,            ,
     109,     21.23,            ,     21.23,            ,
     110,     21.23,            ,     21.23,            ,
     111,     21.23,            ,     21.23,            ,
     112,     21.22,            ,     21.22,            ,
     113,     21.22,            ,     21.22,            ,
     114,     21.22,            ,     21.22,            ,
     115,     21.22,            ,     21.22,            ,
     116,     21.22,            ,     21.22,            ,
     117,     21.22,            ,     21.22,            ,
     118,     21.22,            ,     21.22,            ,
     119,     21.22,            ,     21.22,            ,
     120,     21.22,            ,     21.22,            ,
     121,     21.22,            ,     21.22,            ,
     122,     21.22,            ,     21.22,            ,
     123,     21.22,            ,     21.22,            ,
     124,     21.22,            ,     21.22,            ,
     125,     21.21,            ,     21.21,            ,
     126,     21.21,            ,     21.21,            ,
     127,     21.21,            ,     21.21,            ,
     128,     21.21,            ,     21.21,            ,
     129,     21.21,            ,     21.21,            ,
     130,     21.21,            ,     21.21,            ,
     131,     21.21,            ,     21.21,            ,
     132,     21.21,            ,     21.21,            ,
     133,     21.21,            ,     21.21,            ,
     134,     21.21,            ,     21.21,            ,
     135,     21.21,            ,     21.21,            ,
     136,     21.21,            ,     21.21,            ,
     137,     21.21,            ,     21.21,            ,
     138,     21.21,            ,     21.21,            ,
     139,     21.20,            ,     21.20,            ,
     140,     21.20,            ,     21.20,            ,
     141,     21.20,            ,     21.20,            ,
     142,     21.20,            ,     21.20,            ,
     143,     21.20,            ,     21.20,            ,
     144,     21.20,            ,     21.20,            ,
     145,     21.20,            ,     21.20,            ,
     146,     21.20,            ,     21.20,            ,
     147,     21.20,            ,     21.20,            ,
     148,     21.20,            ,     21.20,            ,
     149,     21.20,            ,     21.20,            ,
     150,     21.20,            ,     21.20,            ,
     151,     21.20,            ,     21.20,            ,
     152,     21.20,            ,     21.20,            ,
     153,     21.19,            ,     21.19,            ,
     154,     21.19,            ,     21.19,            ,
     155,     21.19,            ,     21.19,            ,
     156,     21.19,            ,     21.19,            ,
     157,     21.19,            ,     21.19,            ,
     158,     21.19,            ,     21.19,            ,
     159,     21.19,            ,     21.19,            ,
     160,     21.19,            ,     21.19,            ,
     161,     21.19,            ,     21.19,            ,
     162,     21.19,            ,     21.19,            ,
     163,     21.19,            ,     21.19,            ,
     164,     21.19,            ,     21.19,            ,
     165,     21.19,            ,     21.19,            ,
     166,     21.18,            ,     21.18,            ,
     167,     21.18,            ,     21.18,            ,
     168,     21.18,            ,     21.18,            ,
     169,     21.18,            ,     21.18,            ,
     170,     21.18,            ,     21.18,            ,
     171,     21.18,            ,     21.18,            ,
     172,     21.18,            ,     21.18,            ,
     173,     21.18,            ,     21.18,            ,
     174,     21.18,            ,     21.18,            ,
     175,     21.18,            ,     21.18,            ,
     176,     21.18,            ,     21.18,            ,
     177,     21.18,            ,     21.18,            ,
     178,     21.18,            ,     21.18,            ,
     179,     21.18,            ,     21.18,            ,
     180,     21.18,            ,     21.18,            ,
     181,     21.18,            ,     21.18,            ,
     182,     21.19,            ,     21.19,            ,
     183,     21.19,            ,     21.19,            ,
     184,     21.19,            ,     21.19,            ,
     185,     21.20,            ,     21.20,            ,
     186,     21.20,            ,     21.20,            ,
     187,     21.20,            ,     21.20,            ,
     188,     21.21,            ,     21.21,            ,
     189,     21.21,            ,     21.21,            ,
     190,     21.22,            ,     21.22,            ,
     191,     21.22,            ,     21.22,            ,
     192,     21.23,            ,     21.23,            ,
     193,     21.23,            ,     21.23,            ,
     194,     21.24,            ,     21.24,            ,
     195,     21.24,            ,     21.24,            ,
     196,     21.25,            ,     21.25,            ,
     197,     21.25,            ,     21.25,            ,
     198,     21.25,            ,     21.26,            ,
     199,     21.26,            ,     21.26,            ,
     200,     21.26,            ,     21.26,            ,
     201,     21.27,            ,     21.27,            ,
     202,     21.27,            ,     21.27,            ,
     203,     21.27,            ,     21.28,            ,
     204,     21.28,            ,     21.28,            ,
     205,     21.28,            ,     21.28,            ,
     206,     21.29,            ,     21.29,            ,
     207,     21.29,            ,     21.30,            ,
     208,     21.30,            ,     21.30,            ,
     209,     21.30,            ,     21.31,            ,
     210,     21.31,            ,     21.32,            ,
     211,     21.31,            ,     21.32,            ,
     212,     21.32,            ,     21.32,            ,
     213,     21.32,            ,     21.33,            ,
     214,     21.33,            ,     21.33,            ,
     215,     21.33,            ,     21.34,            ,
     216,     21.33,            ,     21.34,            ,
     217,     21.34,            ,     21.34,            ,
     218,     21.35,            ,     21.35,            ,
     219,     21.35,            ,     21.36,            ,
     220,     21.36,            ,     21.36,            ,
     221,     21.36,            ,     21.37,            ,
     222,     21.37,            ,     21.37,            ,
     223,     21.38,            ,     21.38,            ,
     224,     21.38,            ,     21.39,            ,
     225,     21.39,            ,     21.40,            ,
     226,     21.40,            ,     21.40,            ,
     227,     21.41,            ,     21.41,            ,
     228,     21.41,            ,     21.42,            ,
     229,     21.42,            ,     21.42,            ,
     230,     21.43,            ,     21.43,            ,
     231,     21.44,            ,     21.44,            ,
     232,     21.45,            ,     21.46,            ,
     233,     21.46,            ,     21.47,            ,
     234,     21.47,            ,     21.48,            ,
     235,     21.48,            ,     21.48,            ,
     236,     21.49,            ,     21.49,            ,
     237,     21.49,            ,     21.50,            ,
     238,     21.49,            ,     21.50,            ,
     239,     21.50,            ,     21.50,            ,
     240,     21.50,            ,     21.51,            ,
     241,     21.50,            ,     21.51,            ,
     242,     21.51,            ,     21.52,            ,
     243,     21.52,            ,     21.52,            ,
     244,     21.52,            ,     21.53,            ,
     245,     21.52,            ,     21.53,            ,
     246,     21.52,            ,     21.53,            ,
     247,     21.52,            ,     21.53,            ,
     248,     21.53,            ,     21.54,            ,
     249,     21.54,            ,     21.55,            ,
     250,     21.54,            ,     21.55,            ,
     251,     21.55,            ,     21.55,            ,
     252,     21.55,            ,     21.56,            ,
     253,     21.56,            ,     21.56,            ,
     254,     21.56,            ,     21.57,            ,
     255,     21.56,            ,     21.57,            ,
     256,     21.56,            ,     21.57,            ,
     257,     21.57,            ,     21.57,            ,
     258,     21.58,            ,     21.58,            ,
     259,     21.58,            ,     21.59,            ,
     260,     21.59,            ,     21.60,            ,
     261,     21.59,            ,     21.60,            ,
     262,     21.59,            ,     21.60,            ,
     263,     21.59,            ,     21.60,            ,
     264,     21.59,            ,     21.60,            ,
     265,     21.59,            ,     21.60,            ,
     266,     21.59,            ,     21.60,            ,
     267,     21.59,            ,     21.60,            ,
     268,     21.59,            ,     21.60,            ,
     269,     21.59,            ,     21.60,            ,
     270,     21.59,            ,     21.60,            ,
     271,     21.59,            ,     21.60,            ,
     272,     21.59,            ,     21.60,            ,
     273,     21.59,            ,     21.60,            ,
     274,     21.59,            ,     21.60,            ,
     275,     21.59,            ,     21.60,            ,
     276,     21.59,            ,     21.60,            ,
     277,     21.59,            ,     21.60,            ,
     278,     21.59,            ,     21.60,            ,
     279,     21.59,            ,     21.60,            ,
     280,     21.59,            ,     21.60,            ,
     281,     21.59,            ,     21.60,            ,
     282,     21.59,            ,     21.59,            ,
     283,     21.59,            ,     21.59,            ,
     284,     21.59,            ,     21.59,            ,
     285,     21.59,            ,     21.59,            ,
     286,     21.59,            ,     21.60,            ,
     287,     21.59,            ,     21.60,            ,
     288,     21.60,            ,     21.60,            ,
     289,     21.60,            ,     21.60,            ,
     290,     21.60,            ,     21.60,            ,
     291,     21.60,            ,     21.60,            ,
     292,     21.60,            ,     21.60,            ,
     293,     21.60,            ,     21.60,            ,
     294,     21.59,            ,     21.60,            ,
     295,     21.59,            ,     21.60,            ,
     296,     21.59,            ,     21.60,            ,
     297,     21.59,            ,     21.60,            ,
     298,     21.59,            ,     21.60,            ,
     299,     21.59,            ,     21.60,            ,
     300,     21.59,            ,     21.60,            ,
     301,     21.59,            ,     21.60,            ,
     302,     21.59,            ,     21.60,            ,
     303,     21.59,            ,     21.59,            ,
     304,     21.59,            ,     21.59,            ,
     305,     21.59,            ,     21.59,            ,
     306,     21.59,            ,     21.59,            ,
     307,     21.59,            ,     21.59,            ,
     308,     21.58,            ,     21.59,            ,
     309,     21.58,            ,     21.59,            ,
     310,     21.58,            ,     21.59,            ,
     311,     21.58,            ,     21.59,            ,
     312,     21.58,            ,     21.59,            ,
     313,     21.58,            ,     21.59,            ,
     314,     21.58,            ,     21.59,            ,
     315,     21.58,            ,     21.59,            ,
     316,     21.58,            ,     21.59,            ,
     317,     21.58,            ,     21.59,            ,
     318,     21.58,            ,     21.58,            ,
     319,     21.58,            ,     21.58,            ,
     320,     21.58,            ,     21.58,            ,
     321,     21.58,            ,     21.58,            ,
     322,     21.58,            ,     21.58,            ,
     323,     21.58,            ,     21.58,            ,
     324,     21.57,            ,     21.58,            ,
     325,     21.57,            ,     21.58,            ,
     326,     21.57,            ,     21.58,            ,
     327,     21.57,            ,     21.58,            ,
     328,     21.57,            ,     21.58,            ,
     329,     21.57,            ,     21.58,            ,
     330,     21.57,            ,     21.58,            ,
     331,     21.57,            ,     21.58,            ,
     332,     21.57,            ,     21.58,            ,
     333,     21.57,            ,     21.57,            ,
     334,     21.57,            ,     21.57,            ,
     335,     21.57,            ,     21.57,            ,
     336,     21.57,            ,     21.57,            ,
     337,     21.57,            ,     21.57,            ,
     338,     21.57,            ,     21.57,            ,
     339,     21.57,            ,     21.57,            ,
     340,     21.57,            ,     21.57,            ,
     341,     21.57,            ,     21.57,            ,
     342,     21.57,            ,     21.57,            ,
     343,     21.57,            ,     21.57,            ,
     344,     21.57,            ,     21.57,            ,
     345,     21.57,            ,     21.57,            ,
     346,     21.57,            ,     21.57,            ,
     347,     21.57,            ,     21.57,            ,
     348,     21.57,            ,     21.57,            ,
     349,     21.57,            ,     21.57,            ,
     350,     21.57,            ,     21.57,            ,
     351,     21.57,            ,     21.57,            ,
     352,     21.57,            ,     21.57,            ,
     353,     21.57,            ,     21.57,            ,
     354,     21.57,            ,     21.57,            ,
     355,     21.57,            ,     21.57,            ,
     356,     21.57,            ,     21.57,            ,
     357,     21.57,            ,     21.57,            ,
     358,     21.57,            ,     21.57,            ,
     359,     21.57,            ,     21.57,            ,
     360,     21.57,            ,     21.57,            ,
     361,     21.57,            ,     21.57,            ,
     362,     21.57,            ,     21.57,            ,
     363,     21.57,            ,     21.57,            ,
     364,     21.57,            ,     21.57,            ,
     365,     21.57,            ,     21.57,            ,
     366,     21.57,            ,     21.57,            ,
     367,     21.57,            ,     21.57,            ,
     368,     21.57,            ,     21.57,            ,
     369,     21.57,            ,     21.57,            ,
     370,     21.57,            ,     21.57,            ,
     371,     21.57,            ,     21.57,            ,
     372,     21.57,            ,     21.57,            ,
     373,     21.57,            ,     21.57,            ,
     374,     21.57,            ,     21.57,            ,
     375,     21.57,            ,     21.57,            ,
     376,     21.57,            ,     21.57,            ,
     377,     21.57,            ,     21.57,            ,
     378,     21.57,            ,     21.57,            ,
     379,     21.57,            ,     21.57,            ,
     380,     21.57,            ,     21.57,            ,
     381,     21.57,            ,     21.57,            ,
     382,     21.57,            ,     21.57,            ,
     383,     21.57,            ,     21.57,            ,
     384,     21.57,            ,     21.57,            ,
     385,     21.57,            ,     21.57,            ,
     386,     21.57,            ,     21.57,            ,
     387,     21.57,            ,     21.57,            ,
     388,     21.57,            ,     21.57,            ,
     389,     21.57,            ,     21.57,            ,
     390,     21.57,            ,     21.57,            ,
     391,     21.57,            ,     21.57,            ,
     392,     21.57,            ,     21.57,            ,
     393,     21.57,            ,     21.57,            ,
     394,     21.57,            ,     21.57,            ,
     395,     21.57,            ,     21.57,            ,
     396,     21.57,            ,     21.57,            ,
     397,     21.57,            ,     21.57,            ,
     398,     21.57,            ,     21.57,            ,
     399,     21.56,            ,     21.57,            ,
     400,     21.56,            ,     21.57,            ,
     401,     21.56,            ,     21.57,            ,
     402,     21.56,            ,     21.57,            ,
     403,     21.56,            ,     21.57,            ,
     404,     21.56,            ,     21.57,            ,
     405,     21.56,            ,     21.57,            ,
     406,     21.56,            ,     21.57,            ,
     407,     21.56,            ,     21.57,            ,
     408,     21.56,            ,     21.56,            ,
     409,     21.56,            ,     21.56,            ,
     410,     21.56,            ,     21.56,            ,
     411,     21.56,            ,     21.56,            ,
     412,     21.55,            ,     21.56,            ,
     413,     21.55,            ,     21.56,            ,
     414,     21.55,            ,     21.56,            ,
     415,     21.55,            ,     21.56,            ,
     416,     21.55,            ,     21.56,            ,
     417,     21.55,            ,     21.56,            ,
     418,     21.55,            ,     21.56,            ,
     419,     21.55,            ,     21.56,            ,
     420,     21.55,            ,     21.56,            ,
     421,     21.55,            ,     21.55,            ,
     422,     21.55,            ,     21.55,            ,
     423,     21.55,            ,     21.55,            ,
     424,     21.55,            ,     21.55,            ,
     425,     21.54,            ,     21.55,            ,
     426,     21.54,            ,     21.55,            ,
     427,     21.54,            ,     21.55,            ,
     428,     21.54,            ,     21.55,            ,
     429,     21.54,            ,     21.55,            ,
     430,     21.54,            ,     21.55,            ,
     431,     21.54,            ,     21.55,            ,
     432,     21.54,            ,     21.55,            ,
     433,     21.54,            ,     21.55,            ,
     434,     21.54,            ,     21.54,            ,
     435,     21.54,            ,     21.54,            ,
     436,     21.54,            ,     21.54,            ,
     437,     21.54,            ,     21.54,            ,
     438,     21.54,            ,     21.54,            ,
     439,     21.53,            ,     21.54,            ,
     440,     21.53,            ,     21.54,            ,
     441,     21.53,            ,     21.54,            ,
     442,     21.53,            ,     21.54,            ,
     443,     21.53,            ,     21.54,            ,
     444,     21.53,            ,     21.54,            ,
     445,     21.53,            ,     21.54,            ,
     446,     21.53,            ,     21.54,            ,
     447,     21.53,            ,     21.54,            ,
     448,     21.53,            ,     21.53,            ,
     449,     21.53,            ,     21.53,            ,
