time[d],date,hour,sub116 [mg/l],sub178 [mg/l]
0,1981-01-01,00:00:00.00,0,0
1,1981-01-02,00:00:00.00,0,0
2,1981-01-03,00:00:00.00,0,0
3,1981-01-04,00:00:00.00,0,0
4,1981-01-05,00:00:00.00,0,0
5,1981-01-06,00:00:00.00,0,0
6,1981-01-07,00:00:00.00,0,0
7,1981-01-08,00:00:00.00,0,0
8,1981-01-09,00:00:00.00,0,0
9,1981-01-10,00:00:00.00,0,0
10,1981-01-11,00:00:00.00,0,0
11,1981-01-12,00:00:00.00,0,0
12,1981-01-13,00:00:00.00,0,0
13,1981-01-14,00:00:00.00,0,0
14,1981-01-15,00:00:00.00,0,0
15,1981-01-16,00:00:00.00,0,0
16,1981-01-17,00:00:00.00,0,0
17,1981-01-18,00:00:00.00,0,0
18,1981-01-19,00:00:00.00,0,0
19,1981-01-20,00:00:00.00,0,0
20,1981-01-21,00:00:00.00,0,0
21,1981-01-22,00:00:00.00,0,0
22,1981-01-23,00:00:00.00,0,0
23,1981-01-24,00:00:00.00,0,0
24,1981-01-25,00:00:00.00,0,0
25,1981-01-26,00:00:00.00,0,0
26,1981-01-27,00:00:00.00,0,0
27,1981-01-28,00:00:00.00,0,0
28,1981-01-29,00:00:00.00,0,0
29,1981-01-30,00:00:00.00,0,0
30,1981-01-31,00:00:00.00,0,0
31,1981-02-01,00:00:00.00,0,0
32,1981-02-02,00:00:00.00,0,0
33,1981-02-03,00:00:00.00,0,0
34,1981-02-04,00:00:00.00,0,0
35,1981-02-05,00:00:00.00,0,0
36,1981-02-06,00:00:00.00,0,0
37,1981-02-07,00:00:00.00,0,0
38,1981-02-08,00:00:00.00,0,0
39,1981-02-09,00:00:00.00,0,0
40,1981-02-10,00:00:00.00,0,0
41,1981-02-11,00:00:00.00,0,0
42,1981-02-12,00:00:00.00,0,0
43,1981-02-13,00:00:00.00,0,0
44,1981-02-14,00:00:00.00,0,0
45,1981-02-15,00:00:00.00,0,0
46,1981-02-16,00:00:00.00,0,0
47,1981-02-17,00:00:00.00,0,0
48,1981-02-18,00:00:00.00,0,0
49,1981-02-19,00:00:00.00,0,0
50,1981-02-20,00:00:00.00,0,0
51,1981-02-21,00:00:00.00,0,0
52,1981-02-22,00:00:00.00,0,0
53,1981-02-23,00:00:00.00,0,0
54,1981-02-24,00:00:00.00,0,0
55,1981-02-25,00:00:00.00,0,0
56,1981-02-26,00:00:00.00,0,0
57,1981-02-27,00:00:00.00,0,0
58,1981-02-28,00:00:00.00,0,0
59,1981-03-01,00:00:00.00,0,0
60,1981-03-02,00:00:00.00,0,0
61,1981-03-03,00:00:00.00,0,0
62,1981-03-04,00:00:00.00,0,0
63,1981-03-05,00:00:00.00,0,0
64,1981-03-06,00:00:00.00,0,0
65,1981-03-07,00:00:00.00,0,0
66,1981-03-08,00:00:00.00,0,0
67,1981-03-09,00:00:00.00,0,0
68,1981-03-10,00:00:00.00,0,0
69,1981-03-11,00:00:00.00,0,0
70,1981-03-12,00:00:00.00,0,0
71,1981-03-13,00:00:00.00,0,0
72,1981-03-14,00:00:00.00,0,0
73,1981-03-15,00:00:00.00,0,0
74,1981-03-16,00:00:00.00,0,0
75,1981-03-17,00:00:00.00,0,0
76,1981-03-18,00:00:00.00,0,0
77,1981-03-19,00:00:00.00,0,0
78,1981-03-20,00:00:00.00,0,0
79,1981-03-21,00:00:00.00,0,0
80,1981-03-22,00:00:00.00,0,0
81,1981-03-23,00:00:00.00,0,0
82,1981-03-24,00:00:00.00,0,0
83,1981-03-25,00:00:00.00,0,0
84,1981-03-26,00:00:00.00,0,0
85,1981-03-27,00:00:00.00,0,0
86,1981-03-28,00:00:00.00,0,0
87,1981-03-29,00:00:00.00,0,0
88,1981-03-30,00:00:00.00,0.0349789,0.0794477
89,1981-03-31,00:00:00.00,0.148783,0.292742
90,1981-04-01,00:00:00.00,0.412941,0.623246
91,1981-04-02,00:00:00.00,0.28948,0.490317
92,1981-04-03,00:00:00.00,0.340261,0.546066
93,1981-04-04,00:00:00.00,0.195643,0.360572
94,1981-04-05,00:00:00.00,0.279793,0.452691
95,1981-04-06,00:00:00.00,0.999992,0.999991
96,1981-04-07,00:00:00.00,0.889939,0.937632
97,1981-04-08,00:00:00.00,0.999956,0.999948
98,1981-04-09,00:00:00.00,0.999915,0.999899
99,1981-04-10,00:00:00.00,0.316109,0.46578
100,1981-04-11,00:00:00.00,0.333876,0.486986
101,1981-04-12,00:00:00.00,0.999734,0.999665
102,1981-04-13,00:00:00.00,0.999554,0.999439
103,1981-04-14,00:00:00.00,0.150786,0.235294
104,1981-04-15,00:00:00.00,0.262396,0.373553
105,1981-04-16,00:00:00.00,0.999732,0.999614
106,1981-04-17,00:00:00.00,0.99955,0.999348
107,1981-04-18,00:00:00.00,0.999293,0.998968
108,1981-04-19,00:00:00.00,0.998862,0.998332
109,1981-04-20,00:00:00.00,0.998286,0.997478
110,1981-04-21,00:00:00.00,0.997312,0.996032
111,1981-04-22,00:00:00.00,0.995819,0.993817
112,1981-04-23,00:00:00.00,0.994326,0.991593
113,1981-04-24,00:00:00.00,0.114926,0.16991
114,1981-04-25,00:00:00.00,0.261336,0.360974
115,1981-04-26,00:00:00.00,0.998539,0.997827
116,1981-04-27,00:00:00.00,0.997822,0.996745
117,1981-04-28,00:00:00.00,0.996652,0.994974
118,1981-04-29,00:00:00.00,0.995191,0.992759
119,1981-04-30,00:00:00.00,0.991987,0.987881
120,1981-05-01,00:00:00.00,0.986474,0.97947
121,1981-05-02,00:00:00.00,0.975264,0.962352
122,1981-05-03,00:00:00.00,0.956826,0.934359
123,1981-05-04,00:00:00.00,0.0818883,0.122749
124,1981-05-05,00:00:00.00,0.273226,0.37002
125,1981-05-06,00:00:00.00,0.540573,0.643641
126,1981-05-07,00:00:00.00,0.999477,0.999184
127,1981-05-08,00:00:00.00,0.999026,0.998468
128,1981-05-09,00:00:00.00,0.998341,0.997377
129,1981-05-10,00:00:00.00,0.997292,0.995699
130,1981-05-11,00:00:00.00,0.995851,0.993402
131,1981-05-12,00:00:00.00,0.993841,0.990203
132,1981-05-13,00:00:00.00,0.991118,0.985879
133,1981-05-14,00:00:00.00,0.987423,0.980023
134,1981-05-15,00:00:00.00,0.980664,0.969135
135,1981-05-16,00:00:00.00,0.972999,0.956955
136,1981-05-17,00:00:00.00,0.956659,0.930579
137,1981-05-18,00:00:00.00,0.930373,0.888465
138,1981-05-19,00:00:00.00,0.878523,0.807188
139,1981-05-20,00:00:00.00,0.761716,0.638493
140,1981-05-21,00:00:00.00,0.512491,0.357708
141,1981-05-22,00:00:00.00,0.0830175,0.0454111
142,1981-05-23,00:00:00.00,0,0
143,1981-05-24,00:00:00.00,0,0
144,1981-05-25,00:00:00.00,0,0
145,1981-05-26,00:00:00.00,0,0
146,1981-05-27,00:00:00.00,0,0
147,1981-05-28,00:00:00.00,0,0
148,1981-05-29,00:00:00.00,0,0
149,1981-05-30,00:00:00.00,0,0
150,1981-05-31,00:00:00.00,0,0
151,1981-06-01,00:00:00.00,0,0
152,1981-06-02,00:00:00.00,0,0
153,1981-06-03,00:00:00.00,0.0961186,0.143051
154,1981-06-04,00:00:00.00,0.40614,0.517226
155,1981-06-05,00:00:00.00,0.661411,0.747892
156,1981-06-06,00:00:00.00,0.998635,0.997926
157,1981-06-07,00:00:00.00,0.997337,0.995929
158,1981-06-08,00:00:00.00,0.814237,0.855968
159,1981-06-09,00:00:00.00,0.702057,0.773174
160,1981-06-10,00:00:00.00,0.753031,0.812828
161,1981-06-11,00:00:00.00,0.94818,0.949627
162,1981-06-12,00:00:00.00,0.558045,0.643769
163,1981-06-13,00:00:00.00,0.683467,0.751689
164,1981-06-14,00:00:00.00,0.972533,0.959893
165,1981-06-15,00:00:00.00,0.38334,0.480062
166,1981-06-16,00:00:00.00,0.600649,0.690405
167,1981-06-17,00:00:00.00,0.803501,0.852116
168,1981-06-18,00:00:00.00,0.99128,0.987379
169,1981-06-19,00:00:00.00,0.951872,0.953963
170,1981-06-20,00:00:00.00,0.898519,0.907828
171,1981-06-21,00:00:00.00,0.958662,0.941208
172,1981-06-22,00:00:00.00,0.938409,0.913376
173,1981-06-23,00:00:00.00,0.912532,0.878647
174,1981-06-24,00:00:00.00,0.865707,0.815192
175,1981-06-25,00:00:00.00,0.338664,0.406119
176,1981-06-26,00:00:00.00,0.433051,0.514432
177,1981-06-27,00:00:00.00,0.928744,0.906615
178,1981-06-28,00:00:00.00,0.879628,0.842132
179,1981-06-29,00:00:00.00,0.394872,0.470509
180,1981-06-30,00:00:00.00,0.475634,0.562817
181,1981-07-01,00:00:00.00,0.938484,0.922291
182,1981-07-02,00:00:00.00,0.893063,0.864343
183,1981-07-03,00:00:00.00,0.832554,0.789044
184,1981-07-04,00:00:00.00,0.743365,0.68117
185,1981-07-05,00:00:00.00,0.629873,0.550787
186,1981-07-06,00:00:00.00,0.462866,0.37174
187,1981-07-07,00:00:00.00,0.232019,0.155265
188,1981-07-08,00:00:00.00,0.0533226,0.0244434
189,1981-07-09,00:00:00.00,0.00696231,0
190,1981-07-10,00:00:00.00,0.00116681,0
191,1981-07-11,00:00:00.00,0,0
192,1981-07-12,00:00:00.00,0,0
193,1981-07-13,00:00:00.00,0,0
194,1981-07-14,00:00:00.00,0,0
195,1981-07-15,00:00:00.00,0,0
196,1981-07-16,00:00:00.00,0,0
197,1981-07-17,00:00:00.00,0,0
198,1981-07-18,00:00:00.00,0,0
199,1981-07-19,00:00:00.00,0,0
200,1981-07-20,00:00:00.00,0,0
201,1981-07-21,00:00:00.00,0,0
202,1981-07-22,00:00:00.00,0,0
203,1981-07-23,00:00:00.00,0,0
204,1981-07-24,00:00:00.00,0,0
205,1981-07-25,00:00:00.00,0,0
206,1981-07-26,00:00:00.00,0,0
207,1981-07-27,00:00:00.00,0,0
208,1981-07-28,00:00:00.00,0,0
209,1981-07-29,00:00:00.00,0,0
210,1981-07-30,00:00:00.00,0,0
211,1981-07-31,00:00:00.00,0,0
212,1981-08-01,00:00:00.00,0,0
213,1981-08-02,00:00:00.00,0,0
214,1981-08-03,00:00:00.00,0,0
215,1981-08-04,00:00:00.00,0,0
216,1981-08-05,00:00:00.00,0,0
217,1981-08-06,00:00:00.00,0,0
218,1981-08-07,00:00:00.00,0,0
219,1981-08-08,00:00:00.00,0,0
220,1981-08-09,00:00:00.00,0,0
221,1981-08-10,00:00:00.00,0,0
222,1981-08-11,00:00:00.00,0,0
223,1981-08-12,00:00:00.00,0,0
224,1981-08-13,00:00:00.00,0,0
225,1981-08-14,00:00:00.00,0,0
226,1981-08-15,00:00:00.00,0,0
227,1981-08-16,00:00:00.00,0,0
228,1981-08-17,00:00:00.00,0,0
229,1981-08-18,00:00:00.00,0,0
230,1981-08-19,00:00:00.00,0,0
231,1981-08-20,00:00:00.00,0,0
232,1981-08-21,00:00:00.00,0,0
233,1981-08-22,00:00:00.00,0,0
234,1981-08-23,00:00:00.00,0,0
235,1981-08-24,00:00:00.00,0,0
236,1981-08-25,00:00:00.00,0,0
237,1981-08-26,00:00:00.00,0,0
238,1981-08-27,00:00:00.00,0,0
239,1981-08-28,00:00:00.00,0,0
240,1981-08-29,00:00:00.00,0,0
241,1981-08-30,00:00:00.00,0,0
242,1981-08-31,00:00:00.00,0,0
243,1981-09-01,00:00:00.00,0,0
244,1981-09-02,00:00:00.00,0,0
245,1981-09-03,00:00:00.00,0,0
246,1981-09-04,00:00:00.00,0,0
247,1981-09-05,00:00:00.00,0,0
248,1981-09-06,00:00:00.00,0,0
249,1981-09-07,00:00:00.00,0,0
250,1981-09-08,00:00:00.00,0,0
251,1981-09-09,00:00:00.00,0,0
252,1981-09-10,00:00:00.00,0,0
253,1981-09-11,00:00:00.00,0,0
254,1981-09-12,00:00:00.00,0,0
255,1981-09-13,00:00:00.00,0,0
256,1981-09-14,00:00:00.00,0,0
257,1981-09-15,00:00:00.00,0,0
258,1981-09-16,00:00:00.00,0,0
259,1981-09-17,00:00:00.00,0,0
260,1981-09-18,00:00:00.00,0,0
261,1981-09-19,00:00:00.00,0,0
262,1981-09-20,00:00:00.00,0,0
263,1981-09-21,00:00:00.00,0,0
264,1981-09-22,00:00:00.00,0,0
265,1981-09-23,00:00:00.00,0,0
266,1981-09-24,00:00:00.00,0,0
267,1981-09-25,00:00:00.00,0,0
268,1981-09-26,00:00:00.00,0,0
269,1981-09-27,00:00:00.00,0,0
270,1981-09-28,00:00:00.00,0,0
271,1981-09-29,00:00:00.00,0,0
272,1981-09-30,00:00:00.00,0,0
273,1981-10-01,00:00:00.00,0,0
274,1981-10-02,00:00:00.00,0,0
275,1981-10-03,00:00:00.00,0,0
276,1981-10-04,00:00:00.00,0,0
277,1981-10-05,00:00:00.00,0,0
278,1981-10-06,00:00:00.00,0,0
279,1981-10-07,00:00:00.00,0,0
280,1981-10-08,00:00:00.00,0,0
281,1981-10-09,00:00:00.00,0,0
282,1981-10-10,00:00:00.00,0,0
283,1981-10-11,00:00:00.00,0,0
284,1981-10-12,00:00:00.00,0,0
285,1981-10-13,00:00:00.00,0,0
286,1981-10-14,00:00:00.00,0,0
287,1981-10-15,00:00:00.00,0,0
288,1981-10-16,00:00:00.00,0,0
289,1981-10-17,00:00:00.00,0,0
290,1981-10-18,00:00:00.00,0,0
291,1981-10-19,00:00:00.00,0,0
292,1981-10-20,00:00:00.00,0,0
293,1981-10-21,00:00:00.00,0.00058845,0.00131592
294,1981-10-22,00:00:00.00,0.00971747,0.0218026
295,1981-10-23,00:00:00.00,0.282478,0.451433
296,1981-10-24,00:00:00.00,0.0328241,0.0714376
297,1981-10-25,00:00:00.00,0.0389732,0.0841473
298,1981-10-26,00:00:00.00,0.0352244,0.0766091
299,1981-10-27,00:00:00.00,0.0136596,0.0309239
300,1981-10-28,00:00:00.00,0.0399126,0.0881836
301,1981-10-29,00:00:00.00,0.119724,0.233883
302,1981-10-30,00:00:00.00,0.361849,0.569564
303,1981-10-31,00:00:00.00,0.993097,0.993124
304,1981-11-01,00:00:00.00,0.75883,0.867487
305,1981-11-02,00:00:00.00,0.984783,0.984586
306,1981-11-03,00:00:00.00,0.97714,0.976867
307,1981-11-04,00:00:00.00,0.966212,0.965926
308,1981-11-05,00:00:00.00,0.951272,0.951069
309,1981-11-06,00:00:00.00,0.0883602,0.15646
